# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  115       4.323660863583e-10       1.389468800327e-13      -4.489806510488e-12       5.521849715032e-16       6.959259936582e-12       1.042796387332e-12      -6.515607262079e-15 
  116       4.369753646657e-10       1.405179920294e-13      -4.575912117302e-12       5.620752007065e-16       6.797245330135e-12       1.024309679566e-12      -6.459574233740e-15 
  117       4.416030329215e-10       1.420384702481e-13      -4.660981667094e-12       5.720689566028e-16       6.639652377728e-12       1.006263335538e-12      -6.400652182349e-15 
  118       4.462485348780e-10       1.435068165678e-13      -4.744939052979e-12       5.821670188280e-16       6.486493169849e-12       9.886582430550e-13      -6.339020426491e-15 
  119       4.509112232068e-10       1.449215669765e-13      -4.827707945977e-12       5.923701829980e-16       6.337754840742e-12       9.714924142217e-13      -6.274870371070e-15 
  120       4.555903566006e-10       1.462812930603e-13      -4.909211826612e-12       6.026792608456e-16       6.193398804199e-12       9.547608967830e-13      -6.208405725180e-15 
  121       4.602850968756e-10       1.475846034932e-13      -4.989374016499e-12       6.130950803589e-16       6.053359989365e-12       9.384556854625e-13      -6.139842719982e-15 
  122       4.649945060730e-10       1.488301455254e-13      -5.068117709947e-12       6.236184859186e-16       5.917546076526e-12       9.225656333027e-13      -6.069410326575e-15 
  123       4.697175435615e-10       1.500166064735e-13      -5.145366005554e-12       6.342503384359e-16       5.785836732915e-12       9.070763630055e-13      -5.997350473874e-15 
  124       4.744530631388e-10       1.511427152093e-13      -5.221041937798e-12       6.449915154900e-16       5.658082848507e-12       8.919701782722e-13      -5.923918266479e-15 
  125       4.791998101343e-10       1.522072436490e-13      -5.295068508637e-12       6.558429114661e-16       5.534105771815e-12       8.772259751433e-13      -5.849382202551e-15 
  126       4.839564185102e-10       1.532090082428e-13      -5.367368719103e-12       6.668054376928e-16       5.413696545687e-12       8.628191533388e-13      -5.774024391686e-15 
  127       4.887214079642e-10       1.541468714638e-13      -5.437865600895e-12       6.778800225801e-16       5.296615143108e-12       8.487215275981e-13      -5.698140772790e-15 
  128       4.934931810313e-10       1.550197432974e-13      -5.506482247981e-12       6.890676117567e-16       5.182589702992e-12       8.349012390203e-13      -5.622041331950e-15 
